[-0.5, 14.429120000000003]
[-0.45, 13.86323]
[-0.4, 12.136019999999998]
[-0.35, 12.358959999999998]
[-0.3, 9.31015]
[-0.25, 8.936049999999998]
[-0.2, 9.94669]
[-0.15, 9.984890000000002]
[-0.1, 9.00487]
[-0.05, 7.578809999999998]
[0, 7.950339999999998]
[0.05, 7.382249999999998]
[0.1, 8.46794]
[0.15, 7.936039999999998]
[0.2, 8.79725]
[0.25, 10.631680000000001]
[0.3, 9.653640000000001]
[0.35, 10.89]
[0.4, 10.24876]
[0.45, 12.048409999999997]
[0.5, 12.191459999999998]
[0.55, 14.364470000000003]
[0.6, 14.73927]
[0.65, 16.987969999999997]
[0.7, 17.05999]
[0.75, 20.774999999999995]
[0.8, 20.362730000000003]
[0.85, 20.58431]
[0.9, 23.47314]
[0.95, 25.3862]
[1, 25.386089999999996]
[1.05, 25.12738]
[1.1, 25.842459999999996]
[1.15, 27.23208]
[1.2, 27.00846]
[1.25, 29.679410000000004]
[1.3, 30.918829999999996]
[1.35, 31.409039999999997]
[1.4, 32.915139999999994]
[1.45, 32.39188]
[1.5, 34.56942]
[1.55, 34.50018]
[1.6, 33.90345000000001]
[1.65, 34.84459]
[1.7, 33.98554]
[1.75, 34.06230000000001]
[1.8, 32.942809999999994]
[1.85, 32.08245]
[1.9, 31.145039999999998]
[1.95, 32.01392]
[2, 29.728220000000004]
